Date;RR;DD;FF;FFX;PP;PP0;RAD;RH;TF;TT;TT5;TD;TX;TN;SO
201301010000;0;30;1;3;973.5;1020.7;0;96;-2.4;-2.1;-4.3;-2.6;-1.8;-2.1;0
201301010100;0;40;1;2;973;1020.2;0;96;-2.4;-2.1;-4.6;-2.6;-1.9;-2.2;0
201301010200;0;110;1;2;972.4;1019.6;0;96;-2.6;-2.3;-4.6;-2.8;-2;-2.4;0
201301010300;0;60;1;2;971.5;1018.7;0;97;-3;-2.8;-5;-3.2;-2.2;-2.8;0
201301010400;0;60;2;3;970.7;1017.9;0;97;-3.2;-3;-5.3;-3.4;-2.7;-3;0
201301010500;0;20;1;2;970.3;1017.6;0;97;-3.5;-3.3;-5.8;-3.7;-2.9;-3.4;0
201301010600;0;50;1;2;969.9;1017.2;0;97;-3.9;-3.7;-6.2;-4.1;-3.3;-3.9;0
201301010700;0;40;0;2;969.7;1017.1;2;97;-4.2;-4;-6.2;-4.4;-3.7;-4.1;0
201301010800;0;100;1;1;969.5;1016.6;62;97;-3;-2.8;-5;-3.2;-2.8;-4.1;52.6
201301010900;0;230;0;1;969.2;1015.8;178;81;-1.7;0.1;-0.3;-2.7;0.1;-2.7;60
201301011000;0;200;1;2;968.7;1015.1;262;76;-1.4;0.9;-0.9;-2.8;1.2;0;60
201301011100;0;210;1;3;968.2;1014.6;307;79;-0.9;1.1;0;-2.1;1.3;0.7;60
201301011200;0;220;1;3;967.9;1014;308;72;-0.2;2.6;1;-1.9;2.8;1.1;60
201301011300;0;210;1;3;967.4;1013.2;270;67;0.6;4;2.1;-1.5;4;2.5;60
201301011400;0;290;1;2;967.7;1013.6;140;68;0.5;3.8;2.9;-1.5;4.2;3.7;32.9
201301011500;0;30;1;3;967.9;1013.9;47;71;0.4;3.3;1.1;-1.4;3.8;3.1;13.5
201301011600;0;50;1;3;968.5;1014.7;1;74;-0.3;2.3;-0.7;-1.8;3.4;2.3;0
201301011700;0;30;1;3;969;1015.4;0;81;-0.9;0.9;-1.9;-2;2.3;0.9;0
201301011800;0;30;1;2;969.5;1016.2;0;88;-1.6;-0.5;-3;-2.2;0.9;-0.5;0
201301011900;0;50;1;2;969.7;1016.5;0;93;-1.7;-1.1;-3.9;-2.1;-0.4;-1.1;0
201301012000;0;50;1;2;970;1016.9;0;94;-1.9;-1.4;-4.3;-2.2;-1.1;-1.4;0
201301012100;0;360;1;3;970.1;1017.1;0;96;-2.1;-1.8;-4.3;-2.3;-1.5;-1.8;0
201301012200;0;30;1;2;970.4;1017.5;0;96;-2.5;-2.2;-5.1;-2.7;-1.8;-2.3;0
201301012300;0;40;2;2;970.9;1018;0;97;-2.8;-2.5;-5;-2.9;-2.2;-2.6;0
201301020000;0;50;1;2;970.9;1018;0;97;-2.8;-2.5;-4.9;-2.9;-2.1;-2.6;0
201301020100;0;40;1;2;971.5;1018.7;0;97;-2.9;-2.6;-5;-3;-2.5;-2.7;0
201301020200;0;70;1;2;972.1;1019.3;0;97;-3;-2.7;-4.5;-3.1;-2.6;-2.8;0
201301020300;0;80;1;2;972.3;1019.6;0;97;-3.2;-3;-5;-3.4;-2.5;-3;0
201301020400;0;170;0;2;972.9;1020.2;0;97;-3.1;-2.9;-5.1;-3.3;-2.9;-3.1;0
201301020500;0;90;1;1;973.1;1020.5;0;98;-3.3;-3.1;-4.8;-3.4;-2.8;-3.3;0
201301020600;0;110;1;2;973.5;1020.9;0;98;-3.2;-3;-4.1;-3.3;-2.9;-3.3;0
